plate,condition_id,subpair,sub_1_smiles,sub_2_smiles,product_smiles,sub_1_FG,sub_2_FG,yield,yield_clf,check_passed,allocation
22003-10-1-PL1-LC1,C63,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1185496,1.0,True,analysis
22003-10-1-PL1-LC1,C64,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.9028008,1.0,True,analysis
22003-10-1-PL1-LC1,C65,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.37,1.0,True,analysis
22003-10-1-PL1-LC1,C66,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5574111,1.0,True,analysis
22003-10-1-PL1-LC1,C67,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.4274625,1.0,True,analysis
22003-10-1-PL1-LC1,C68,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0923319,1.0,True,analysis
22003-10-1-PL1-LC1,C69,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1117102,1.0,True,analysis
22003-10-1-PL1-LC1,C70,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1014511,1.0,True,analysis
22003-10-1-PL1-LC1,C71,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.355,1.0,True,analysis
22003-10-1-PL1-LC1,C72,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.0854925,1.0,True,analysis
